repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
filament,https://github.com/filamentphp/filament.git,4.x,f1c8ae25beb5d6a639ebab2d9b3b73ddf2683c0760a25a06846bfb5b,CLAUDE.md,ab0e133cd4f0e746f7177f8dd9755d1620420cf3,2026-01-04 12:56:44,28894,240,29134
flox,https://github.com/flox/flox.git,main,3d06f13fa44a134d7eb2f35e4df017dcba965f40d2b39e9881c140dd,CLAUDE.md,76ba29586a684b03a41febfdec8f909d0cdcd39a,2025-12-31 13:13:37,4304,312,4616
flutter-voice-sdk,https://github.com/team-telnyx/flutter-voice-sdk.git,main,9a8aecb4b77da47e64900ced529ce87b186859a304ec8efbfb98e796,CLAUDE.md,6cc7396ad37062112d2e13e9d7355fb1818840ba,2025-06-10 10:33:59,500,354,854
flutter_server_box,https://github.com/lollipopkit/flutter_server_box.git,main,6b280dbf5ebada2eb6d90645b78cf367cf16ed946815a8a08ef39bf1,CLAUDE.md,efc0315c931b416bfc4a73c5aa8f7ea966d51082,2025-09-01 23:32:44,1234,87,1321
forwardemail.net,https://github.com/forwardemail/forwardemail.net.git,master,5eb183779f089ad387126a99c9995597be5dce30efd99a0ae377c4e3,AGENTS.md,3f52dd74b401b35bf79a3d4613de4cab87f4840e,2026-01-08 00:19:07,3977,268,4245
frb,https://github.com/frbs/frb.git,main,7eab6163e442e5205958a65ca6b7341276da8a35d62ff77965d8e195,CLAUDE.md,9afc1e661f67bfa989c776f70495c2918fe08eaf,2025-12-15 13:26:46,3767,15,3782
frosty,https://github.com/tommyxchow/frosty.git,main,4fa533c6a5a6e5fb0f7a3b0496de629f1bbbdae0670c59a4f82fe7f0,CLAUDE.md,d43fa5ffa2eb006f76c2a2f0aad936f59d2fc5dd,2025-08-22 21:34:25,1130,79,1209
fvm,https://github.com/leoafarias/fvm.git,main,a18ab1d5bf2cdf11cfcc1fd1623c2ec245921dd8d73cbab10784040f,AGENTS.md,4e565a5c0bcc141a230e1110b1e7ce65bddf704c,2025-12-24 16:52:09,1975,23,1998
gateway,https://github.com/hummingbot/gateway.git,main,4832c0a554f0fbaf49c9de20af400e1801d20d454ebd09391197f438,CLAUDE.md,dc4299415347a7fb8a808623256b9649fd542111,2025-05-04 09:58:53,1524,826,2350
go-feature-flag,https://github.com/thomaspoignant/go-feature-flag.git,main,4fba7960043be785bc9358025553aad9c2497bfb776a2c51254ed27c,AGENTS.md,580a6181ea9a3636f1d65cc00e97080ecce4427f,2025-12-10 21:47:54,4102,343,4445
graphiti_mcp,https://github.com/klaviyo/graphiti_mcp.git,main,f12861964d0d1d404de1e9b31114de07f43763574ea574a29d56aac1,CLAUDE.md,cb4e187aedbf74e2beb7eff7a7a2899c903c0fe6,2025-06-27 12:23:30,461,278,739
harbor,https://github.com/laude-institute/harbor.git,main,0bf237a5ac9faa4adba03e513fc541dfac10e1db4b6bdf5bdeb6725c,AGENTS.md,bf11f22eed93c96006e5b5e1da5ec81f59a24b72,2025-09-13 16:33:59,70,452,522
hfblog,https://github.com/AnswerDotAI/hfblog.git,main,1b7ac0f37f8ba028cbe0c014fac0266cf2fc53810d31196767ea3ebc,agents.md,890197db0669e96bdbba0268406927ea94b3431e,2024-05-13 17:42:49,1866,436,2302
homelab,https://github.com/zebernst/homelab.git,main,02487834264bac5bb648695d2a00cd207738ee823fd195077df7d7e4,CLAUDE.md,007a809044d5138058bedc9305fd13c8fd006fd0,2026-01-18 13:54:39,1278,21,1299
imgui_bundle,https://github.com/pthom/imgui_bundle.git,main,d8a15b376588717bf3baf9ee5411ddb9c9d58e364ffda36f9042a2f6,claude.md,4a38ad8c1f0709c61ab326ac82c021df00de9fa4,2025-04-03 14:24:12,2752,400,3152
laf,https://github.com/labring/laf.git,main,f6086cd52396aa9352edbb7797ea4c6d9cd1696d9979e23ad9e53e4d,CLAUDE.md,eb2d257eb2f5480bbec8aed32893c83cda748373,2025-10-27 21:51:52,2501,4,2505
lance,https://github.com/lance-format/lance.git,main,750d79e33c9dabbc6b70ffbe1da9674b772bfe729248265f5f1fae12,CLAUDE.md,c8559ba872d6b63c1642eae552dbe08f5cf2893a,2025-07-22 11:57:54,2600,898,3498
lobsters,https://github.com/lobsters/lobsters.git,main,bc37ddc4ac88d651780834846bc116b625d953fb712e41716253bb09,AGENTS.md,6b3756ef1059cbebe0b05e3b01ed7fcc4aac9a60,2025-10-06 13:36:45,4034,348,4382
lula,https://github.com/defenseunicorns/lula.git,main,3e8332511e10ee8f5b4ad208ee319429fef74f1aa21ab89c501772c4,CLAUDE.md,33d3248095a73a4a3a7c00500b9217fdeeb81ab6,2025-08-15 01:13:46,7,760,767
macondo,https://github.com/domino14/macondo.git,master,d5140a2726f615c320661b661be4b005e16200c735c9ac98b3e090c9,CLAUDE.md,3151b5a804cb21771fe506b626f27f28750314f3,2025-09-20 11:18:59,1750,48,1798
madmin-go,https://github.com/minio/madmin-go.git,main,de65b9f40ca2145863aa8542e72d0c577eb8cc7bea68b368f6d71e95,CLAUDE.md,1ae9b8fccc10deb7e84cf01ddd273b2495e44b6b,2025-09-30 20:33:02,479,80,559
miniwdl,https://github.com/chanzuckerberg/miniwdl.git,main,9e4a284042d70ff730f039a50dae121fb4f70d921bbbfc665ee6677a,CLAUDE.md,e5fa0628a81f8927b219e310b6efbe9227d52d13,2026-02-01 22:00:12,925,1,926
missing-semester,https://github.com/missing-semester/missing-semester.git,master,86def54ea58ff01dd1c9f76a8c0e9577ed67d9c78bf670cec944e643,AGENT.md,d4d9bfcf089d6c7023fd8c91e07495abf2b4dcb6,2026-01-15 05:40:05,719,71,790
mlr3pipelines,https://github.com/mlr-org/mlr3pipelines.git,master,f42dfe62c65927c04dc9131ba635a8311987a75893659824a8193aaf,AGENTS.md,8acced0c21effa330b2e99ae097578c4f94fb509,2025-11-04 15:37:01,3903,166,4069
modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol.git,main,8e237b392692739b6f9aaa57a373c8935d2c06f97aaec5f3a92ffb58,CLAUDE.md,cd1c8ca5cd24fc8309f886d5dc38cdc1ff02ff7b,2025-01-17 15:56:34,542,2680,3222
moltbot-agent-ui,https://github.com/grp06/moltbot-agent-ui.git,main,702d062f0415916ad2ed0c83322cdfd371e2e6cdc53fe23e673d8fcf,AGENTS.md,8bc5bf25bce92a58d084ae78b0780f2ddce69a66,2026-01-27 11:39:28,7,609,616
mui-x,https://github.com/mui/mui-x.git,master,0b3bc6e93a90de77cfd1f53273bf1066f522261500ffbc046944e722,CLAUDE.md,127a905f9cc980d35f6fe8891199e31ca0092746,2026-01-19 22:48:56,10818,229,11047
namma_wallet,https://github.com/Namma-Flutter/namma_wallet.git,main,a1c374eba6ab3fd4624ffe22aeffe07f3b5ec7887e87b1711060c47c,CLAUDE.md,29d93ba26a9676c95b0b1f9fe99ed005c988b7c3,2025-09-03 07:52:58,28,796,824
nanocoder,https://github.com/nano-collective/nanocoder.git,main,6ce7648ad302b7745ad7611fdfe29bb3060bc154143359dab00a759f,AGENTS.md,332e85fa7c8f55c09e00f7397c5316f6a11e3b70,2026-01-05 15:24:37,1155,342,1497
netclode,https://github.com/angristan/netclode.git,master,50b964da34df926326fb13aeae1866959ac4a24ab5f2a47a14b4d2f2,AGENTS.md,5b210a16f78cae38d664971ab515b58810b64c97,2026-01-06 11:32:48,59,784,843
neurolink,https://github.com/juspay/neurolink.git,release,4b35e10298c61086576e4c6f52683fbbe72949176135eca2fd468748,CLAUDE.md,fd8d207a2f9be61e65fd00d697a0456511ece30f,2025-11-27 09:40:11,331,168,499
next,https://github.com/SAGE-3/next.git,main,e47aca3d796e1abf68f9296ce7b4931e8785de4c1442ce3dd9cfdb81,AGENTS.md,265b34b20defb9f7f3f97ab158f5b892410f29bb,2025-12-09 16:26:52,6031,43,6074
nglui,https://github.com/caveconnectome/nglui.git,master,6f1646ffa15d66a69d1ea0fb92f0e95b1ccfad94ff4f42862c531f5c,CLAUDE.md,e68029a870157cd50752e8f1df3b4811158fc27d,2025-08-29 15:35:06,609,43,652
nix-openclaw,https://github.com/openclaw/nix-openclaw.git,main,5e715c6bacf9551e6460e809f3e73c545ca0d475b5e5bc56a1df6315,AGENTS.md,35cdacc5501621906657d1c36a9b72f495939815,2026-01-03 21:35:03,15,777,792
nlweb,https://github.com/nlweb-ai/nlweb.git,main,b9a34e6b892486ee5ddcc8083586b9111e33cbcf24d721e17e8ce8c5,CLAUDE.md,0d3c0aa1947106c7b385329467920645fff0b4bd,2025-07-25 12:22:04,746,330,1076
